,#502,#504,#102,#506,#508,#510,#512,#514,#516,#518,#520
"Sandoval/ US 550",9:29A,2:13P,6:58P,,,,,,,,,,
Kewa,9:47A,2:31P,7:16P,,,,,,,,,,
"SF County / NM 599",10:08A,2:52P,7:37P,,,,,,,,,,
"South Capitol",10:24A,3:08P,7:53P,,,,,,,,,,
"Santa Fe Depot",10:29A,3:13P,7:58P,,,,,,,,,,
,#701,#703,#705,#709,,,,,,,,,
"Santa Fe Depot",,10:44A,3:27P,8:12P,,,,,,,,,
"South Capitol",,10:49A,3:32P,8:17P,,,,,,,,,
"SF County / NM 599",,11:05A,3:48P,8:33P,,,,,,,,,
Kewa,,11:23A,4:06P,8:51P,,,,,,,,,
"Sandoval/ US 550",,11:41A,4:24P,9:09P,,,,,,,,,
"Downtown Bernalillo",,11:44A,4:27P,9:12P,,,,,,,,,
"Sandia Pueblo",,11:52A,4:35P,9:20P,,,,,,,,,
"Los Ranchos / JC",,11:57A,4:40P,9:25P,,,,,,,,,
Montaño,,12:03P,4:46P,9:31P,,,,,,,,,
"Downtown ABQ",7:28A,12:12P,4:57P,9:40P,,,,,,,,,
"Bernalillo County",7:38A,12:22P,5:07P,,,,,,,,,,
"Isleta Pueblo",7:45A,12:29P,5:14P,,,,,,,,,,
"Los Lunas",7:56A,12:40P,5:25P,,,,,,,,,,
Belen,8:06A,12:50P,5:35P,,,,,,,,,,
